pair_id,style,reference_file,search_file,center_x,center_y,top_left_x,top_left_y,ref_width,ref_height,search_width,search_height,noise_level
dram_0001,DRAM,reference/dram_0001_ref.png,search/dram_0001_search.png,137.0,219.0,73,155,128,128,512,512,0.2650457474807275
dram_0002,DRAM,reference/dram_0002_ref.png,search/dram_0002_search.png,337.0,139.0,273,75,128,128,512,512,0.2955188728611154
finfet_0003,FINFET,reference/finfet_0003_ref.png,search/finfet_0003_search.png,233.0,129.0,169,65,128,128,512,512,0.1948153342528606
dram_0004,DRAM,reference/dram_0004_ref.png,search/dram_0004_search.png,219.0,218.0,155,154,128,128,512,512,0.15488428339165408
finfet_0005,FINFET,reference/finfet_0005_ref.png,search/finfet_0005_search.png,345.0,118.0,281,54,128,128,512,512,0.15364325058853642
finfet_0006,FINFET,reference/finfet_0006_ref.png,search/finfet_0006_search.png,208.0,392.0,144,328,128,128,512,512,0.25307717476235836
finfet_0007,FINFET,reference/finfet_0007_ref.png,search/finfet_0007_search.png,114.0,387.0,50,323,128,128,512,512,0.23285434786307066
dram_0008,DRAM,reference/dram_0008_ref.png,search/dram_0008_search.png,124.0,395.0,60,331,128,128,512,512,0.254896573979726
finfet_0009,FINFET,reference/finfet_0009_ref.png,search/finfet_0009_search.png,238.0,354.0,174,290,128,128,512,512,0.2291057428166423
finfet_0010,FINFET,reference/finfet_0010_ref.png,search/finfet_0010_search.png,133.0,236.0,69,172,128,128,512,512,0.34163361962785654
finfet_0011,FINFET,reference/finfet_0011_ref.png,search/finfet_0011_search.png,117.0,139.0,53,75,128,128,512,512,0.28149481212130234
dram_0012,DRAM,reference/dram_0012_ref.png,search/dram_0012_search.png,129.0,356.0,65,292,128,128,512,512,0.1839497407153089
dram_0013,DRAM,reference/dram_0013_ref.png,search/dram_0013_search.png,134.0,208.0,70,144,128,128,512,512,0.34349592828500475
dram_0014,DRAM,reference/dram_0014_ref.png,search/dram_0014_search.png,367.0,230.0,303,166,128,128,512,512,0.3160101255080797
dram_0015,DRAM,reference/dram_0015_ref.png,search/dram_0015_search.png,114.0,132.0,50,68,128,128,512,512,0.35999706974788737
dram_0016,DRAM,reference/dram_0016_ref.png,search/dram_0016_search.png,141.0,336.0,77,272,128,128,512,512,0.16090792192407896
finfet_0017,FINFET,reference/finfet_0017_ref.png,search/finfet_0017_search.png,383.0,137.0,319,73,128,128,512,512,0.2540371754588282
dram_0018,DRAM,reference/dram_0018_ref.png,search/dram_0018_search.png,231.0,123.0,167,59,128,128,512,512,0.30155513061786177
finfet_0019,FINFET,reference/finfet_0019_ref.png,search/finfet_0019_search.png,215.0,218.0,151,154,128,128,512,512,0.26211325037949074
dram_0020,DRAM,reference/dram_0020_ref.png,search/dram_0020_search.png,389.0,340.0,325,276,128,128,512,512,0.3037674314816444
